﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA","Drops of Jupiter","Train","Drops Of Jupiter","1","3","259933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2FiceoWDJ67rrmb5tGBpgE","Ghost","Ella Henderson","Ghost","1","1","216106","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:06EL94D0TA27Ik0Ke5usbj","The Way","Ariana Grande, Mac Miller","Yours Truly","1","8","227026","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3G5iN5QBqMeXx3uZPy8tgB","Young Girls","Bruno Mars","Unorthodox Jukebox","1","1","228720","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5j9iuo3tMmQIfnEEQOOjxh","Best Day Of My Life","American Authors","Oh, What A Life","1","3","194240","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7EYWEwJyai7udNmqvRPsZM","Blame","Calvin Harris, John Newman","Blame","1","1","214426","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6BlHw1w21btaXLnYt7mLQp","Sirens","Cher Lloyd","Sirens","1","1","235093","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6jACXYa6ow4TrAUNXIQjqU","If I Never See Your Face Again","Maroon 5, Rihanna","It Won't Be Soon Before Long.","1","13","198386","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2wqaekenSQZm7hxQOYt8oE","Am I Wrong","Nico & Vinz","Am I Wrong","1","1","247520","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0HnaqUxvHP5LaWdmWwJpiS","Love Somebody","Maroon 5","Overexposed (Deluxe)","1","6","229813","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:72C7aUQECOhNtnD0AC36ua","They Don't Know About Us","One Direction","Take Me Home: Yearbook Edition","1","12","201693","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0WeCJh7UNwcHGXWzwcprCn","How Long Will I Love You - Bonus Track","Ellie Goulding","Halcyon Days","1","20","154435","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6vgdsUtEcdRJtXbr1w9RT1","Money On My Mind","Sam Smith","Money On My Mind","1","1","194079","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0nJW01T7XtvILxQgC5J7Wh","When I Was Your Man","Bruno Mars","Unorthodox Jukebox","1","6","213826","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3cdhgO3vgHyOIADMXokd2t","Nothing","The Script","Science & Faith","1","3","271773","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:64XaqRfp8sxAWM5qd6t7jG","Life Of The Party","Shawn Mendes","Shawn Mendes","1","1","214586","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3yiopxxeHuwcpAg4e57Zjt","Right There","Ariana Grande, Big Sean","Yours Truly","1","3","247080","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6qRfox98MxG58sqoPPn8QY","Everybody's Changing","Keane","Music From The WB Television Series One Tree Hill (change in 1 track bundle status)","1","11","215266","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6nmVeODcBpsGKx5RPv003D","Feel Again","OneRepublic","Feel Again","1","1","185613","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2Doj2N4v9AfwReC8uXMtwj","Won't Go Home Without You","Maroon 5","It Won't Be Soon Before Long.","1","5","231173","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7MapZTlRqFfUteNcghsTwf","Keep Your Head Up","Andy Grammer","Andy Grammer","1","1","190480","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2rJojRundKuKFgbvmCAYva","Me And My Broken Heart","Rixton","Me And My Broken Heart","1","1","193826","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7Fw5i56my24ZBnGS7hFX2n","Pompeii","Bastille","Pompeii","1","1","214147","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5lA3pwMkBdd24StM90QrNR","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition","1","8","238733","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7hMqIrwysNlIXRmFCIn5j3","Anything Could Happen","Ellie Goulding","Anything Could Happen","1","1","286082","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:348qSa1KejmhpWgCpsfSxb","Miss Movin' On","Fifth Harmony","Better Together","1","2","194253","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","Coldplay","Parachutes","1","5","266773","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1FsH6OZCKLWbBgqj8JcCvO","The Man","Aloe Blacc","Lift Your Spirit","1","2","255906","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6G9JORy1gvXtzi8bKugZzZ","If I Lose Myself","OneRepublic","If I Lose Myself","1","1","241613","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1dABxUeyaNyq7RbKbT3ndo","Dear Darlin'","Olly Murs","Right Place Right Time","1","4","206373","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1NhPKVLsHhFUHIOZ32QnS2","Secrets","OneRepublic","Waking Up","1","3","224693","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2nMeu6UenVvwUktBCpLMK9","Young And Beautiful","Lana Del Rey","Young And Beautiful","1","1","236053","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0SuG9kyzGRpDqrCWtgD6Lq","Give Me Love","Ed Sheeran","+","1","12","526386","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:3B5UbSndRz907IZhhmUfLi","Count On Me","Bruno Mars","Doo-Wops & Hooligans","1","9","197373","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6vrUTGn5p8IrfTZ0J6sIVM","Iris","The Goo Goo Dolls","Greatest Hits Volume One - The Singles","1","14","289906","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4urcG6Nfubqsuqy3juMjBi","Brokenhearted","Karmin","Hello","1","2","227146","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7hCNBVRhHzcsRAv0TQnOzq","Runaway Baby","Bruno Mars","Doo-Wops & Hooligans","1","4","147746","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1sGIS3GjvpkoSf3s1r9gmH","Love Runs Out","OneRepublic","Love Runs Out","1","1","224560","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1FSWSs9CL01RCYxXtm08Rf","Dance with Me Tonight","Olly Murs","In Case You Didn't Know","1","3","202226","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6TwfdLbaxTKzQi3AgsZNzx","Daylight","Maroon 5","Overexposed (Deluxe)","1","3","225306","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:48s0QHJgmiNsth3WEO6U4M","Stop And Stare","OneRepublic","Dreaming Out Loud","1","3","223853","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:02ILwrgX3DDx9mclP2EI41","I'm Ready","AJR","I'm Ready - EP","1","1","227311","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0BhZWr9gPZNlVdWWigvYA9","She Looks So Perfect","5 Seconds of Summer","She Looks So Perfect","1","1","202496","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4sn0Ck12hSxDc5sUvQkcTN","Neon Lights","Demi Lovato","Demi","1","4","233173","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6jdOi5U5LBzQrc4c1VT983","Hold On, We're Going Home","Drake, Majid Jordan","Nothing Was The Same (Deluxe)","1","8","227880","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:13ETkZ90sElK5xJuB4cUEt","Bonfire Heart","James Blunt","Moon Landing (Deluxe Edition)","1","3","238000","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1hVQx6bg4uKPljAUkNjpY2","Your Song","Ellie Goulding","Your Song","1","1","190346","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6iNcyWk5iUEY7P9zeTc5hm","Amazed","Lonestar","Playlist: The Very Best Of Lonestar","1","3","239986","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:37qI0mchgzUSeUhPiwUWPY","Wherever You Will Go","The Calling","The Best Of...","1","1","209360","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6NcHJ23mLQKnVxQcOmT7JW","Someday - Remastered","Sugar Ray","The Best Of Sugar Ray","1","4","243333","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4V2F0DZrAXOWq9hkwMMG3x","Lost Without U","Robin Thicke","The Evolution of Robin Thicke","1","4","254146","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7afSN5zhUhkbpRFpYKYztK","The Reason","Hoobastank","The Reason","1","8","232800","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:58CrldAc1Z5WIBozT1NMJH","Ordinary People","John Legend","Get Lifted","1","8","281466","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:2nbClS09zsIAqNkshg6jnp","Closer","Ne-Yo","Year Of The Gentleman","1","1","234360","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4IoYz8XqqdowINzfRrFnhi","You Found Me","The Fray","The Fray","1","3","241853","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0WdaRmHBMhUoLPqHLdb9yg","All or Nothing","O-Town","Totally Hits 2001","1","8","248866","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4ocbH5ZJqajZIpUrqRUoue","Meet Virginia","Train","Train","1","1","239933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5rdRPZnY9B2pxJNWImbsFn","If You're Gone - Remastered Version","Matchbox Twenty","Exile On Mainstream","1","13","274293","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:4agp6oHofabdUedr0B1krj","Steal My Sunshine","Len","You Can't Stop The Bum Rush","1","1","265533","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7qQfI2F80t2MZcLLVuH6M2","Here Without You","3 Doors Down","Here Without You","1","1","236920","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1oJSAzNyTUCm36zhFYMcAZ","Big Yellow Taxi","Counting Crows, Vanessa Carlton","Films About Ghosts: The Best Of...","1","10","225426","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:6ybViy2qrO9sIi41EgRJgx","Don't Know Why","Norah Jones","Come Away With Me","1","1","186146","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1GwVi2ceNb8dMFA3DZGnnY","On The Way Down","Ryan Cabrera","Take It All Away (U.S. Version)","1","2","213280","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:7uYroF9RRrhRJBrigRvB6H","Summer Girls","LFO","LFO","1","1","257333","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5RbjZdW8vLZQJpRAZwNIdX","Superman (It's Not Easy)","Five For Fighting","Smallville: The Talon Mix","1","4","221173","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:16gvJsVyauI16RqmOrwJJk","Again","Lenny Kravitz","Greatest Hits","1","4","228933","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1MLiJQozVUdCCNudp1cDbn","John Cougar, John Deere, John 3:16","Keith Urban","John Cougar, John Deere, John 3:16","1","1","221599","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:44aN5xKL3kGHvQ5bXVk6B8","Ghost Town","Adam Lambert","The Original High (Deluxe Version)","1","1","208330","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:1Qg0JhbqPhYki1a5bv7NgH","Save Me","LISTENBEE, Naz Tokio","Save Me","1","1","210706","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:0knbW9EwgSLfNFMWys1mQm","Love Me Like You Mean It","Kelsea Ballerini","The First Time","1","3","200026","spotify:user:122199385","2018-04-13T15:53:13Z"
"spotify:track:5M9jOReAKGZ2AttVefFjTY","Don't Look Down","Martin Garrix, Usher","Don't Look Down","1","1","223139","spotify:user:122199385","2018-04-13T15:53:13Z"
